1389417531,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1389417531,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1389417531,s2-eth1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1389417531,s2-eth2,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1389417531,s1-eth2,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1389417531,s1-eth1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1389417531,total,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1389417532,lo,536.00,536.00,1072.00,536,536,6.00,6.00,12.00,6,6,0.00,0.00,0,0
1389417532,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1389417532,s2-eth1,137082.00,6090892.00,6227974.00,6090892,137082,2077.00,4024.00,6101.00,4024,2077,0.00,0.00,0,0
1389417532,s2-eth2,6040930.00,136950.00,6177880.00,136950,6040930,3991.00,2075.00,6066.00,2075,3991,0.00,0.00,0,0
1389417532,s1-eth2,136950.00,6040930.00,6177880.00,6040930,136950,2075.00,3991.00,6066.00,3991,2075,0.00,0.00,0,0
1389417532,s1-eth1,6039416.00,136950.00,6176366.00,136950,6039416,3990.00,2075.00,6065.00,2075,3990,0.00,0.00,0,0
1389417532,total,12354914.00,12406258.00,24761172.00,12406258,12354914,12139.00,12171.00,24310.00,12171,12139,0.00,0.00,0,0
1389417533,lo,576.00,576.00,1152.00,576,576,6.00,6.00,12.00,6,6,0.00,0.00,0,0
1389417533,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1389417533,s2-eth1,137436.00,6252820.00,6390256.00,6252820,137436,2082.00,4130.00,6212.00,4130,2082,0.00,0.00,0,0
1389417533,s2-eth2,6252820.00,137502.00,6390322.00,137502,6252820,4130.00,2083.00,6213.00,2083,4130,0.00,0.00,0,0
1389417533,s1-eth2,137502.00,6252820.00,6390322.00,6252820,137502,2083.00,4130.00,6213.00,4130,2083,0.00,0.00,0,0
1389417533,s1-eth1,6252820.00,137436.00,6390256.00,137436,6252820,4130.00,2082.00,6212.00,2082,4130,0.00,0.00,0,0
1389417533,total,12781154.00,12781154.00,25562308.00,12781154,12781154,12431.00,12431.00,24862.00,12431,12431,0.00,0.00,0,0
1389417534,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1389417534,eth0,0.00,220.00,220.00,220,0,0.00,2.00,2.00,2,0,0.00,0.00,0,0
1389417534,s2-eth1,136158.00,6252820.00,6388978.00,6252820,136158,2063.00,4130.00,6193.00,4130,2063,0.00,0.00,0,0
1389417534,s2-eth2,6251306.00,136158.00,6387464.00,136158,6251306,4129.00,2063.00,6192.00,2063,4129,0.00,0.00,0,0
1389417534,s1-eth2,136158.00,6251306.00,6387464.00,6251306,136158,2063.00,4129.00,6192.00,4129,2063,0.00,0.00,0,0
1389417534,s1-eth1,6248278.00,136224.00,6384502.00,136224,6248278,4127.00,2064.00,6191.00,2064,4127,0.00,0.00,0,0
1389417534,total,12771900.00,12776728.00,25548628.00,12776728,12771900,12382.00,12388.00,24770.00,12388,12382,0.00,0.00,0,0
1389417535,lo,536.00,536.00,1072.00,536,536,6.00,6.00,12.00,6,6,0.00,0.00,0,0
1389417535,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1389417535,s2-eth1,136492.00,6251306.00,6387798.00,6251306,136492,2068.00,4129.00,6197.00,4129,2068,0.00,0.00,0,0
1389417535,s2-eth2,6252820.00,136426.00,6389246.00,136426,6252820,4130.00,2067.00,6197.00,2067,4130,0.00,0.00,0,0
1389417535,s1-eth2,136426.00,6252820.00,6389246.00,6252820,136426,2067.00,4130.00,6197.00,4130,2067,0.00,0.00,0,0
1389417535,s1-eth1,6255848.00,136426.00,6392274.00,136426,6255848,4132.00,2067.00,6199.00,2067,4132,0.00,0.00,0,0
1389417535,total,12782122.00,12777514.00,25559636.00,12777514,12782122,12403.00,12399.00,24802.00,12399,12403,0.00,0.00,0,0
1389417536,lo,536.00,536.00,1072.00,536,536,6.00,6.00,12.00,6,6,0.00,0.00,0,0
1389417536,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1389417536,s2-eth1,136224.00,6252890.00,6389114.00,6252890,136224,2064.00,4131.00,6195.00,4131,2064,0.00,0.00,0,0
1389417536,s2-eth2,6251376.00,136290.00,6387666.00,136290,6251376,4130.00,2065.00,6195.00,2065,4130,0.00,0.00,0,0
1389417536,s1-eth2,136290.00,6251376.00,6387666.00,6251376,136290,2065.00,4130.00,6195.00,4130,2065,0.00,0.00,0,0
1389417536,s1-eth1,6252890.00,136290.00,6389180.00,136290,6252890,4131.00,2065.00,6196.00,2065,4131,0.00,0.00,0,0
1389417536,total,12777316.00,12777382.00,25554698.00,12777382,12777316,12396.00,12397.00,24793.00,12397,12396,0.00,0.00,0,0
1389417537,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1389417537,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1389417537,s2-eth1,136290.00,6251306.00,6387596.00,6251306,136290,2065.00,4129.00,6194.00,4129,2065,0.00,0.00,0,0
