2508
20140421080540,10.0.0.2,49452,10.0.0.1,5001,3,0.0-1.0,1966080,15728640
20140421080542,10.0.0.2,49452,10.0.0.1,5001,3,1.0-2.0,1703936,13631488
20140421080542,10.0.0.2,49452,10.0.0.1,5001,3,2.0-3.0,1572864,12582912
20140421080543,10.0.0.2,49452,10.0.0.1,5001,3,3.0-4.0,1703936,13631488
20140421080544,10.0.0.2,49452,10.0.0.1,5001,3,4.0-5.0,1572864,12582912
20140421080545,10.0.0.2,49452,10.0.0.1,5001,3,5.0-6.0,1572864,12582912
20140421080547,10.0.0.2,49452,10.0.0.1,5001,3,6.0-7.0,1441792,11534336
20140421080547,10.0.0.2,49452,10.0.0.1,5001,3,7.0-8.0,1572864,12582912
20140421080548,10.0.0.2,49452,10.0.0.1,5001,3,8.0-9.0,1572864,12582912
20140421080550,10.0.0.2,49452,10.0.0.1,5001,3,9.0-10.0,1703936,13631488
20140421080551,10.0.0.2,49452,10.0.0.1,5001,3,10.0-11.0,1703936,13631488
20140421080551,10.0.0.2,49452,10.0.0.1,5001,3,11.0-12.0,1441792,11534336
20140421080552,10.0.0.2,49452,10.0.0.1,5001,3,12.0-13.0,1703936,13631488
20140421080553,10.0.0.2,49452,10.0.0.1,5001,3,13.0-14.0,1572864,12582912
20140421080554,10.0.0.2,49452,10.0.0.1,5001,3,14.0-15.0,1703936,13631488
20140421080555,10.0.0.2,49452,10.0.0.1,5001,3,15.0-16.0,1572864,12582912
20140421080557,10.0.0.2,49452,10.0.0.1,5001,3,16.0-17.0,1703936,13631488
20140421080558,10.0.0.2,49452,10.0.0.1,5001,3,17.0-18.0,1703936,13631488
20140421080558,10.0.0.2,49452,10.0.0.1,5001,3,18.0-19.0,1441792,11534336
20140421080600,10.0.0.2,49452,10.0.0.1,5001,3,19.0-20.0,1703936,13631488
20140421080601,10.0.0.2,49452,10.0.0.1,5001,3,20.0-21.0,262144,2097152
20140421080603,10.0.0.2,49452,10.0.0.1,5001,3,21.0-22.0,393216,3145728
20140421080603,10.0.0.2,49452,10.0.0.1,5001,3,22.0-23.0,131072,1048576
20140421080605,10.0.0.2,49452,10.0.0.1,5001,3,23.0-24.0,262144,2097152
20140421080605,10.0.0.2,49452,10.0.0.1,5001,3,24.0-25.0,131072,1048576
20140421080606,10.0.0.2,49452,10.0.0.1,5001,3,25.0-26.0,262144,2097152
20140421080608,10.0.0.2,49452,10.0.0.1,5001,3,26.0-27.0,262144,2097152
20140421080608,10.0.0.2,49452,10.0.0.1,5001,3,27.0-28.0,131072,1048576
20140421080610,10.0.0.2,49452,10.0.0.1,5001,3,28.0-29.0,393216,3145728
20140421080610,10.0.0.2,49452,10.0.0.1,5001,3,29.0-30.0,131072,1048576
20140421080611,10.0.0.2,49452,10.0.0.1,5001,3,30.0-31.0,131072,1048576
20140421080612,10.0.0.2,49452,10.0.0.1,5001,3,31.0-32.0,262144,2097152
20140421080613,10.0.0.2,49452,10.0.0.1,5001,3,32.0-33.0,262144,2097152
20140421080615,10.0.0.2,49452,10.0.0.1,5001,3,33.0-34.0,262144,2097152
20140421080615,10.0.0.2,49452,10.0.0.1,5001,3,34.0-35.0,131072,1048576
